節気名,読み,開始年月日,終了年月日,本文,画像URL,raw_title,slug
立春,りっしゅん,2/4,2/18,"二十四節気が大寒から立春へと変わり、暦の上では春の始まりです。立春は、二十四節気の最初の節気。長い冬が明け、これから少しずつ暖かくなっていきます。日足が伸び、木々も次第に芽吹く頃で、暖かい地方では梅の花がほころび始めたりと、所々で春の気配が感じられる季節です。

旧暦では一年の始まりは立春からと考えられており、様々な決まり事や季節の節目は、この日が起点になっています。立春から88日目は霜が降りなくなるという「八十八夜」、210日目と220日目は台風が多いとされる「二百十日」「二百二十日」。いずれも農作業の目安となっています。また、ひと月遅れの旧暦では、立春近くに元日がめぐってきますが、必ずしも立春＝元日にならないのは、二十四節気は太陽の動き、元日は月の動きで決められていたからです。旧暦一日は必ず朔 (新月) ですが、立春は朔に関係なく定められるため、多くの年は一日になりません。ただ、何十年かに一度、立春が朔と重なり、旧暦1月1日になる年があります。これを「朔旦立春 (さくたんりっしゅん)」または「立春正月」といい、大変めでたい日とされてきました。前回の朔旦立春は1992年でしたが、次回は2038年になるそうです。いずれにしても、立春は新しい年の始まりであったことから、新暦となった現代も、年賀状に「新春」「迎春」と書く習慣が残っています。日本の禅寺では、立春の朝、門口に「立春大吉」と書いた紙札を貼る習慣があります。縦書きすると左右対称となるめでたい文字は、厄除けのおまじない。一年間災難にあわないといわれ、家の鬼門にこの紙札を貼るご家庭もあるそうです。",https://www.kurashi-no-hotorisya.jp/u-src/blog/24seasonal-terms/spring_begins.png,二十四節気「立春 (りっしゅん)」 2/4～2/18頃,spring_begins
雨水,うすい,2/19,3/4,"二十四節気が立春から雨水へと変わり、本格的な雪解けの季節となりました。この頃になると厳しい寒さも和らいで、降る雪は雨へと変わり、深く積もった雪も解け始めます。雪解け水が大地や田畑を潤し、川や湖に張っていた氷も水に戻り、ようやく春の足音が聞こえ始めます。

この時期から春にかけて降る雨は「養花雨 (ようかう)」や「催花雨 (さいかう)」と呼ばれ、梅や桜など春の花の開花をうながすと言われています。こうした土や水が動き始める雨水は、昔から農業の準備を始める目安とされてきました。春一番が吹くのもこの頃ですが、気候が不安定なので突然大雪が降ることも。3月5日頃から二十四節気は「啓蟄 (けいちつ)」へと変わり、冬ごもりしていた生き物たちが姿を現し始めます。",https://www.kurashi-no-hotorisya.jp/u-src/blog/24seasonal-terms/rain_than_snow.png,二十四節気「雨水 (うすい)」 2/19～3/4頃,rain_than_snow
啓蟄,けいちつ,3/5,3/19,"二十四節気が、雨水から啓蟄へと変わりました。この頃になると、大地も暖まり、春の陽気に誘われて、冬ごもりしていた土の中の虫たちが動き始めます。「啓」はひらく、「蟄」は土の中で冬ごもりしている虫という意味ですが、目を覚ますのは虫だけではありません。

ひと雨ごとに気温が上がり、わらびやぜんまいなどの山菜も土から顔をのぞかせます。春の山菜、野菜には独特の苦みがありますが、「春の皿には苦みを盛れ」という言葉もあるように、この苦みが冬の間に体にたまった老廃物を流し出してくれます。3月20日頃から二十四節気は、昼夜の長さが同じになる「春分」へと変わり、いよいよ本格的な春の到来です。日に日に日脚が伸び、麗らかな陽光の中に春を感じ始める季節です。",https://www.kurashi-no-hotorisya.jp/u-src/blog/24seasonal-terms/insects_awake.png,二十四節気「啓蟄 (けいちつ)」 3/5～3/19頃,insects_awake
春分,しゅんぶん,3/20,4/3,"二十四節気が、啓蟄から春分へと変わりました。昼と夜の長さがほぼ同じになる頃で、この日を境に夏至までの間、徐々に日脚が伸びていきます。ヨーロッパなどでは、春分をもって春の始まりとしているそう。桜の開花情報が聞かれるのもこの頃からで、いよいよ本格的な春の到来です。

太陽が真東から昇り真西に沈む春分の日は「彼岸の中日」と呼ばれ、この日を中心とした一週間は、お墓参りをする習慣があります。これは、他の国にはない日本独自の行事です。昔は極楽浄土は西の彼方にあると信じられていたため、太陽が真西に沈むこの時期は先祖と通じ合える日とされていました。また、春分の日は「自然をたたえ、生物をいつくしむ日」として国民の祝日に定められています。春分以降は「暑さも寒さも彼岸まで」という言葉があるように、寒気もようやく和らぎ、春らしく暖かな日が多くなります。とはいえ、花冷えや寒の戻りがあるので油断は禁物。4月4日頃から二十四節気は「清明 (せいめい)」へと変わり、万物が清らかに明るく感じられる春の盛りがやってきます。",https://www.kurashi-no-hotorisya.jp/u-src/blog/24seasonal-terms/vernal_equinox.png,二十四節気「春分 (しゅんぶん)」 3/20～4/3頃,vernal_equinox
清明,せいめい,4/4,4/19,"二十四節気が春分から清明へと変わりました。清明とは「清浄明潔」の略で、春の清らかで生き生きとした様子を表しています。木々の若葉が一斉に芽吹き、溢れるように花が咲き、やわらかな春風と明るい日差しに万物が清らかに明るく感じられる季節です。

この頃になると、桜前線が東北地方や北陸地方にまで到達し、日本各地で桜の花が咲き誇ります。また、沖縄では「清明祭 (シーミー)」といって、墓前に親族が集まり、お酒やお重を供えた後、皆でご馳走をいただく習慣があるそうです。この「清明祭 (シーミー)」は中国から伝わったとされ、お盆、正月と並ぶ沖縄の三大行事の一つにもなっています。4月20日頃から二十四節気は「穀雨 (こくう)」へと変わり、穀物に実りをもたらす雨がしっとりと降りそそぐ季節がやってきます。",https://www.kurashi-no-hotorisya.jp/u-src/blog/24seasonal-terms/clear_bright.png,二十四節気「清明 (せいめい)」 4/4～4/19頃,clear_bright
穀雨,こくう,4/20,5/4,"二十四節気が清明から穀雨へと変わり、穀物に実りをもたらす雨がしっとりと降りそそぐ頃となりました。穀雨の頃は、茶摘みが始まるお茶農家や、苗代を仕込む米農家にとって大事な時季です。春の柔らかな雨に大地は潤い、新芽や若葉はぐんぐん育っていきます。若葉萌える新緑の季節、木々の緑も雨上がりは一層色鮮やかです。

「清明になると雪が降らなくなり、穀雨になると霜が降りることもなくなる」という言葉がありますが、変わりやすい春の天気もこの頃から安定し、次第に日差しも強まりはじめます。穀雨は、春の最後の二十四節気。季節は既に晩春となり、徐々に夏へと移り変わっていきます。5月5日頃から二十四節気は「立夏」となり、暦の上では早くも夏の始まりです。",https://www.kurashi-no-hotorisya.jp/u-src/blog/24seasonal-terms/rain_of_fertility.png,二十四節気「穀雨 (こくう)」 4/20～5/4頃,rain_of_fertility
立夏,りっか,5/5,5/20,"二十四節気が穀雨から立夏へと変わり、暦上では夏の始まりです。春分と夏至のちょうど中間にあたり、この日から立秋の前日までが夏季になります。立夏は薫風に新緑きらめく、一年で最もさわやかな季節です。

この頃は、晴天の日が多く、天候が安定していますので、梅雨の前に畳替えや夏の準備をしておくのがよさそうです。衣服だけでなく、寝具やカーテン、敷物などのインテリアなども夏仕様の涼しげなものに替えると気分もすっきりしておすすめです。本格的な夏はまだ先で、気温もまださほど高くありませんが、陽の光は一年の中で最も強く、「光の夏」とも呼ばれます。この光を受け、野山や草木の青葉はどんどん深みを増していきます。",https://mizy.sakura.ne.jp/72kou/img/24sekki/08-rikka.jpg,二十四節気「立夏 (りっか)」 5/5～5/20頃,summer_begins
小満,しょうまん,5/21,6/4,"二十四節気が立夏から小満へと変わりました。小満は、日の光がいっそうと強まり、万物が生長し、天地に満ち始める頃をいいます。昨年の秋に蒔いた麦の穂が育ち、ほっとひと安心することから、「小さな満足 = 小満」となったともいわれています。

日ごとに上昇する気温に合わせ、あらゆる生命ががすくすくと成長していきます。畑の麦は大きく穂を実らせ、野山や草木の青葉はどんどん深みを増してゆきます。田植えの準備を始める頃でもあり、西日本では「走り梅雨」がみられる頃です。走り梅雨は「梅雨の走り」とも言い、本格的な梅雨を目前にしながら、先走るようにぐずつく天候のことを指します。通常はこの後晴れた日が続き、その後に梅雨入りとなりますので、6月1日の衣替えに向けて、晴れているうちに準備を進めておくのが良さそうです。",https://www.kurashi-no-hotorisya.jp/u-src/blog/24seasonal-terms/begin_to_fill.png,二十四節気「小満 (しょうまん)」 5/21～6/4頃,begin_to_fill
芒種,ぼうしゅ,6/5,6/20,"二十四節気が小満から芒種へと変わりました。「芒 (のぎ)」とは、麦や稲など、イネ科植物の穂先にある針のような毛のことで、昔から「芒種」の時季は、この “芒” のある植物の種を蒔いたり、麦の刈入れや田植えを行う目安とされてきました。

さわやかな5月も終わり、そろそろ本格的な梅雨の始まりです。一足早く梅雨入りする沖縄では、前回の節気「小満」と合わせて梅雨のことを「小満芒種 (すーまんぼーす)」と言うそうです。",https://www.kurashi-no-hotorisya.jp/u-src/blog/24seasonal-terms/seeding_millet.png,二十四節気「芒種 (ぼうしゅ)」 6/5～6/20頃,seeding_millet
夏至,げし,6/21,7/6,"二十四節気が芒種から夏至へと変わりました。夏至は、冬至とは反対に、一年で最も昼が長く夜が短くなる日で、昼の12時のときの太陽の高さも、一年で最も高くなります。「夏に至る」と書くように、夏至を過ぎると、いよいよ本格的な夏の到来。これから暑さは日に日に増していきます。

夏至は、二十四節気のひとつで、一年で最も昼が長く夜が短い ”日” であるとともに、”期間” としての意味もあり、7月6日頃までの約2週間を指します。この時期は、北の地方ほど昼の長さが長く、北極に近い北欧などでは、太陽が一日中沈むことがない「白夜」が起き、夏至祭が盛大に行われます。南北に長い日本列島でも、北へ行くほど昼の長さが長くなり、冬至の日と比べると、東京で約5時間、北海道の根室では約6時間半も長くなります。",https://www.kurashi-no-hotorisya.jp/u-src/blog/24seasonal-terms/summer_solstice.png,二十四節気「夏至 (げし)」 6/21～7/6頃,summer_solstice
